document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
fc0c25c8cb5550d17315329cd72451f21e0e12a9,test,Where does this story take place?,Little Hintock,A village called Little Hintock.,Where does this story take place ?,Little Hintock,A village called Little Hintock .
a291171000871c2588aacdbe03496c21fe9aec05,train,What does the MOD use as a time travel device?,Volkswagen Convertible Beetle.,A convertible Volkswagon Beetle.,What does the MOD use as a time travel device ?,Volkswagen Convertible Beetle .,A convertible Volkswagon Beetle .
b5e8bad0c0071c50ed8594102c9988250c2c03b1,train,What did Duessa do to trap the Redcrosse Knight?,She pretended to be captured,pretends to be captured,What did Duessa do to trap the Redcrosse Knight ?,She pretended to be captured,pretends to be captured
4804e3cb47efb800824d8afa23196cdcb0ffca11,train,What does Alcestis have to do to be purified from being dead?,She can't speak for three whole days.,Not speak for three days.,What does Alcestis have to do to be purified from being dead ?,She ca n't speak for three whole days .,Not speak for three days .
854dd2f347a89b5653a9e8372541af6fc3590254,train,Who does Ferris nearly run into at the French restaurant?,His father.,His father,Who does Ferris nearly run into at the French restaurant ?,His father .,His father
78775713129c757ce928985ab432f2751d7b46af,test,Who is the circust artist?,Rodrigo Quast,Rodrigo Quast,Who is the circust artist ?,Rodrigo Quast,Rodrigo Quast
fe752f8c56b123e282f7798a98355057fc44b7a1,train,Where did the first people find themselves?,They found themselves in a land of ice and snow.,A place of snow and cold.,Where did the first people find themselves ?,They found themselves in a land of ice and snow .,A place of snow and cold .
67161aa1a00a7151b4b0d43229d177363f8c5568,train,What does Charles suspect Emma is doing when she meets Leon?,Charles believes she is taking piano lessons?,taking piano lessons,What does Charles suspect Emma is doing when she meets Leon ?,Charles believes she is taking piano lessons ?,taking piano lessons
7f4bce4058ac3cf2ff5cfb36908c8e6d891797e1,valid,What is Anna Khitrova's occupation?,midwife,She's a midwife.,What is Anna Khitrova s occupation ?,midwife,She s a midwife .
1288838955082c83ba4801ea8c7a0b0c157a3e3a,test,How old was Bathurst when he disappeared?,25,25,How old was Bathurst when he disappeared ?,25,25
9fb690b50942bf56dea7067546a01298376a3344,test,"Who developed the ""Source Code""?",Dr. Rutledge,dr. rutledge,Who developed the Source Code ?,Dr. Rutledge,dr. rutledge
5c1d04428ffd3f0ddd732a723e61371e0255aa49,train,What is Jackie's job?,Flight Attendent,flight attendant ,What is Jackie s job ?,Flight Attendent,flight attendant
c82d39d256c252bc607644e9ecd4a7f6bdddf299,train,What is a gharri?,A vehicle similar to a small trolley. ,A type of small trolley,What is a gharri ?,A vehicle similar to a small trolley .,A type of small trolley
4142bbe1bccc01b4e996969c1154d78acbc20db6,train,What is Simone concerned about at the end of the story?,The future of her child,Her child's safety,What is Simone concerned about at the end of the story ?,The future of her child,Her child s safety
83351acb498ae98e3b652dcbcdc3a615e83e2f63,train,Who stops William from marrying Audrey?,Touchstone,Touchstone.,Who stops William from marrying Audrey ?,Touchstone,Touchstone .
3753ff3da0842f8a1609e3cee8bb506c3b5b63f2,test,What war was Whale in?,World War One.,World War I,What war was Whale in ?,World War One .,World War I
854dd2f347a89b5653a9e8372541af6fc3590254,train,What advice does the main character give the audience?,How to skip school,He tells the audience how to skip school successfully.,What advice does the main character give the audience ?,How to skip school,He tells the audience how to skip school successfully .
78775713129c757ce928985ab432f2751d7b46af,test,How did Dr Goll die?,He had a heart attack,heart attack,How did Dr Goll die ?,He had a heart attack,heart attack
05c794b3a1c52d3716f8b7c2b4de77df7ea65748,train,What did Christine do to her boss right before Stu stole Christine's file?,Nose bleed,Had a projectile nose bleed and covered him in blood ,What did Christine do to her boss right before Stu stole Christine s file ?,Nose bleed,Had a projectile nose bleed and covered him in blood
6aa4c6be53eff0024e5c84f99ac94cddff4eb8f0,test,How was Jean's ex-husband treated in London?,like a guest,He was treated like an ordinary guest.,How was Jean s ex-husband treated in London ?,like a guest,He was treated like an ordinary guest .
5072c80a5e769f39362dfb24b630e674d0f999f7,train,The money in the Inn's safe was to be used to do what?,The money was supposed to be used for a city street railroad deal.,a city street railroad deal,The money in the Inn s safe was to be used to do what ?,The money was supposed to be used for a city street railroad deal .,a city street railroad deal
05c77e71c5f919af1ae72442febd204b03563f93,train,Why does Mr. Hardcastle want his daughter to meet Charles Marlow?,He hopes they will marry.,To keep the jewels in the family,Why does Mr. Hardcastle want his daughter to meet Charles Marlow ?,He hopes they will marry .,To keep the jewels in the family
52158b21ae8eee67b24b169e60f108ccd1172057,train,Why does E.E.S. want to mutate the world's population?,To create an efficient workforce.,So they can have an efficient workforce. ,Why does E.E.S . want to mutate the world s population ?,To create an efficient workforce .,So they can have an efficient workforce .
3b6b07116f23ac811a4d20acca3ed758c557795c,train,What was Connor's mother's crime?,She was accused of witchcraft.,Witchcraft,What was Connor s mother s crime ?,She was accused of witchcraft .,Witchcraft
c6fc2b0974642d459e52c68182f2000f8aa2cf82,train,Who did Dunbar marry?,Stands with a Fist,stands with a fist,Who did Dunbar marry ?,Stands with a Fist,stands with a fist
4390a163555dbcd4511aa1edb5df5873d85e6291,test,Who is the only non-student living in the boarding-home?,Marcas,Z. Marcus ,Who is the only non-student living in the boarding-home ?,Marcas,Z. Marcus
c82d39d256c252bc607644e9ecd4a7f6bdddf299,train,Tensions between which two groups threatened to stop the bridge from being built?,Local natives and the coolies.  ,Tensions between native workers and the Sikhs brought in to work on the bridge almost stop it from being built.,Tensions between which two groups threatened to stop the bridge from being built ?,Local natives and the coolies .,Tensions between native workers and the Sikhs brought in to work on the bridge almost stop it from being built .
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What does the Toymaker assist Princess Petulant and Martin with?,Going home,journey home,What does the Toymaker assist Princess Petulant and Martin with ?,Going home,journey home
0d95465d9d08a01d744d71e51384f301b5fd1b0f,train,What is the name of Marie's brother in law that Borne and Marie stay with in the French Countryside? ,Eamon,Eamon,What is the name of Marie s brother in law that Borne and Marie stay with in the French Countryside ?,Eamon,Eamon
145200abf14baeffa646797dfbfa58861cb4b079,test,What was Russell's occupation?,a Wilderness Explorer,Wilderness Explorer,What was Russell s occupation ?,a Wilderness Explorer,Wilderness Explorer
7ee7a5656b920c8b6e33cc3f970afa9501782393,test,What does Crawford have to do to take Tamanrasset back?,He must organize troops from nearby towns.,send his followers to organize troops,What does Crawford have to do to take Tamanrasset back ?,He must organize troops from nearby towns .,send his followers to organize troops
51dee7b41692efe1a4908527013b3aea46cb2c9a,test,Who goes to the windmill and discovers Fiona is an ogre?,Donkey,donkey,Who goes to the windmill and discovers Fiona is an ogre ?,Donkey,donkey
fe7390fde95a9ec85a35e2de5a869fcc7c7f1a34,train,Who is Bob Kelly to Maggie?,her fourth fiance,Her fourth fiance.,Who is Bob Kelly to Maggie ?,her fourth fiance,Her fourth fiance .
cb988d19a62895665c8434fc0b1ed41ba0f01357,train,Why is The duc furious?,His plans have been thwarted.,"Since Martin Roget didn't marry his daughter, the French royalist cause won't receive substantial funds from Roget",Why is The duc furious ?,His plans have been thwarted .,"Since Martin Roget did n't marry his daughter , the French royalist cause wo n't receive substantial funds from Roget"
ec14a0a6712974227acf09046812d4c51fef364a,train,How Dr Sebastian used the serum first time?,He applied on a Gorilla and restored it back? ,On a female gorilla.,How Dr Sebastian used the serum first time ?,He applied on a Gorilla and restored it back ?,On a female gorilla .
bf55d1c14536c04c4b8f8cb18ea8dd490e986066,train,What action does Arabella take to show she is evil?,She killed the servant.,She kills a mongoose with her bare hands.,What action does Arabella take to show she is evil ?,She killed the servant .,She kills a mongoose with her bare hands .
5685121eb6af89082a190b3383cdee15a2ae83ff,train,What is Diva Plavalaguna's profession?,She is an opera singer.,Opera singer,What is Diva Plavalaguna s profession ?,She is an opera singer .,Opera singer
ca4b98f54a313ac59b7da739f8a3d7454c271193,train,What is the title of this story?,The Claverings,The claverings,What is the title of this story ?,The Claverings,The claverings
ced78c602bde7f9dd7aa80ea8347dc9af5a70547,train,What happens after Lisa has sex with Caije?,"She tells him and a teacher that she had an abortion, but is not sure who the father was",she becomes pregnant and has an abortion. ,What happens after Lisa has sex with Caije ?,"She tells him and a teacher that she had an abortion , but is not sure who the father was",she becomes pregnant and has an abortion .
2819dab971e357cf6b3b919bb8ff8b838e0558dd,train,What does Seymour realize when Enid comes to visit him in the hospital?,Seymour realizes that there is no way Enid and him will ever have a future together.,that there is no chance of a future with Enid,What does Seymour realize when Enid comes to visit him in the hospital ?,Seymour realizes that there is no way Enid and him will ever have a future together .,that there is no chance of a future with Enid
a396cef5286c5c07adbfc2a5d792402c1418d571,train,How is 'Tom Grogan' described?,"As a sturdy, cheerful, capale Irishwomen.","was a stevedore, ingenious,spirited and entertaining ",How is Tom Grogan ' described ?,"As a sturdy , cheerful , capale Irishwomen .","was a stevedore , ingenious , spirited and entertaining"
78e0e28b686c7157d598082bfaa8aaaab821b78b,train,Who does Bianca decide to go to Prom with?,Cameron,Patrick,Who does Bianca decide to go to Prom with ?,Cameron,Patrick
571556120960f1940d0aa86b07dab9f9be0ee182,train,Who authored the poems that Aurora has misplaced?,Henry Apjohn,Henry. ,Who authored the poems that Aurora has misplaced ?,Henry Apjohn,Henry .
9f312d4d32915822056abb59f26f070881806430,test,Where was Sydney when he learned about Alison's love interest?,Sophie's award show,A party,Where was Sydney when he learned about Alison s love interest ?,Sophie s award show,A party
d30548e59e55ef9f39f252e10e126fc4430a822d,test,When did humanity receive free will?,After the height of the roman empire,After the height of the Roman Empire,When did humanity receive free will ?,After the height of the roman empire,After the height of the Roman Empire
d079071fecafe63e2939d8e866c36819c21b907c,train,What city is mentioned as the focal point?,Los Angeles ,Los Angeles,What city is mentioned as the focal point ?,Los Angeles,Los Angeles
3891a69dd37f0ec9ca5a54e1d77913fefac27fb9,train,Why does Kate pee on the floor after being refused the wine sale?,Kate peed on the floor because the bathroom door was locked.,Kate urinates on the floor because the bathroom is locked.,Why does Kate pee on the floor after being refused the wine sale ?,Kate peed on the floor because the bathroom door was locked .,Kate urinates on the floor because the bathroom is locked .
598ad8540bb3851e7347cda52466e566cda0cccf,train,Who was killed in the grim battle?,Xotalanc,Xotalanc,Who was killed in the grim battle ?,Xotalanc,Xotalanc
c0aa30a9c4eeace0c59ae36a6f9387b553e8c245,train,How does the lion react to Glaucus in the gladiatorial arena?,"The lion returns to his cage, sparing the life of Glaucus.",he returns to the cage and spares his life,How does the lion react to Glaucus in the gladiatorial arena ?,"The lion returns to his cage , sparing the life of Glaucus .",he returns to the cage and spares his life
a71ea0ede601f09b48d88dbe9c060c60709a3a1c,train,Where does Carol move in her unhappiness?,Washington DC,To Washington D.C.,Where does Carol move in her unhappiness ?,Washington DC,To Washington D.C .
e0b99eb5a288970d3e82846af97e56cf4248cd85,train,What does the machine do that Dane finds in the pirates base?,Draws ships in and crashes them.,changes lead into gold,What does the machine do that Dane finds in the pirates base ?,Draws ships in and crashes them .,changes lead into gold
cba4515370099009b03d469ebe3e8ab69550bd2d,test,What is death according to Lucretius?,One's material mind dissipating.,Eternal non-existence.,What is death according to Lucretius ?,One s material mind dissipating .,Eternal non-existence .
f23712a97eb0abc86d873b5c28fe2008aa82ef0c,train,Why was the old laird broken-hearted?,Their wounded honor and the unfixabe weapon.,loss of honor and weapon,Why was the old laird broken-hearted ?,Their wounded honor and the unfixabe weapon .,loss of honor and weapon
6ea31b70e5af494ad2b7623d06b6487b3953b20d,test,Who is Solomon Northup?,A free American man working as a violinist.,Free African American,Who is Solomon Northup ?,A free American man working as a violinist .,Free African American
28eb6b741d8facc2425a20e4c01592850206f0fd,train,What did Lincoln say regarding states that had been seceded?,That they would need to follow the federal laws.,"That the Constitution was binding and perpetual in regards to the states being in union, and that this could not be rescinded without the agrement of both North and South.",What did Lincoln say regarding states that had been seceded ?,That they would need to follow the federal laws .,"That the Constitution was binding and perpetual in regards to the states being in union , and that this could not be rescinded without the agrement of both North and South ."
9f312d4d32915822056abb59f26f070881806430,test,Who hires Sidney for his magazine in NY?,Clayton Harding,Clayton Harding ,Who hires Sidney for his magazine in NY ?,Clayton Harding,Clayton Harding
b7d110c2b105935a4284db267650661a3d572b26,train,Who assumes George is gay?,Lester,Lester,Who assumes George is gay ?,Lester,Lester
3907cf252b326a524485348ba766c9d55b691ed2,train,What did Roderick confess to the narrator about Madeline?,That he knew Madeline wasn't dead>,that she had been alive when they entombed her,What did Roderick confess to the narrator about Madeline ?,That he knew Madeline was n't dead >,that she had been alive when they entombed her
04ef491311759e1e853f9c7fc7e8c946c6eab31b,test,What kind of animal is Marahute?,an eagle,An large eagle that is rare.,What kind of animal is Marahute ?,an eagle,An large eagle that is rare .
3907cf252b326a524485348ba766c9d55b691ed2,train,"As the narrator helps Roderick put Madeline in the tomb, what did he notice?",She had rosy cheeks.,Her rosy cheeks,"As the narrator helps Roderick put Madeline in the tomb , what did he notice ?",She had rosy cheeks .,Her rosy cheeks
214cb5277750c1ccddec0b10fa545c3c78c45f64,test,Who is electing king and queen?,Belle and the beast,Belle and the beast.,Who is electing king and queen ?,Belle and the beast,Belle and the beast .
b0cdfea5c6b7ac7a87b11c4d8527a4fdaa2a20f5,train,What pirate ship does Richard board?,the Black Moll,The Black Moll.,What pirate ship does Richard board ?,the Black Moll,The Black Moll .
ec25b1507cdc7d59d8b9341d93ff59b649c5752f,test,What must the immigrants cross to reach safety?,a frozen river,Frozen St. Lawrence River.,What must the immigrants cross to reach safety ?,a frozen river,Frozen St. Lawrence River .
bb6376e342dc66b433066219e35995b491923a16,test,What is Iola Leroy's ethnic background?,Her father is white and her mother if mixed-raced,Mixed-race of majority white ancestry,What is Iola Leroy s ethnic background ?,Her father is white and her mother if mixed-raced,Mixed-race of majority white ancestry
aaeca5ea3551106cc8279887ebbeca8fd3f029dd,train,Where does Ned meet Lola?,Ned meets Lola on a stakeout.,At a stakeout,Where does Ned meet Lola ?,Ned meets Lola on a stakeout .,At a stakeout
33563aed8b26142ec99e57b67fe18f21f7c1c794,train,What is Boone's new name?,Cabal,Cabal.,What is Boone s new name ?,Cabal,Cabal .
5e34e97ac8ff6cfb0f6e6e2ddcb4c23e55ea1c78,test,From where does Nordau draw his examples of how fin de siecle has affected all aspects of society?,French literature and periodicals,French periodicals and books,From where does Nordau draw his examples of how fin de siecle has affected all aspects of society ?,French literature and periodicals,French periodicals and books
9c26a0e3cad380e2977b25e812a617e5083e73fd,train,Who is Colonel Fitzwilliam engaged to? ,Georgiana,Georgiana Darcy ,Who is Colonel Fitzwilliam engaged to ?,Georgiana,Georgiana Darcy
cc8608ad66db28cabde4fb1b409aff6bce5f13de,train,What does Adams purchase to help make a better research of France in 1902?,An automobile.,An automobile,What does Adams purchase to help make a better research of France in 1902 ?,An automobile .,An automobile
9e08f12783862b2e020fcec6a1f992dea0fbe4ab,train,Who is made a gentleman-in-waiting by Earl Mackworth? ,Walter Blunt,Walter Blunt,Who is made a gentleman-in-waiting by Earl Mackworth ?,Walter Blunt,Walter Blunt
8c363b08c0232e49fcf1e41b00a1719e2fa0d157,train,What are Eugenia's feelings toward Robert?,She is unsure of him.,not interested,What are Eugenia s feelings toward Robert ?,She is unsure of him .,not interested
6e0473730d1d65dc684496b943863033e13093c4,train,Why was Andrew Moreton congratulating Samuel Robinson?,For his election to the city of London,For being elected.,Why was Andrew Moreton congratulating Samuel Robinson ?,For his election to the city of London,For being elected .
a8771e0706c5b98b55c60b8dc3b9668295315712,test,What were the names of the two robots that traveled with Cooper?,TARS and CASE,TARS and CASE,What were the names of the two robots that traveled with Cooper ?,TARS and CASE,TARS and CASE
5ac3d5e216b574eccf17acf5dad1524b8f84dddf,train,Why did Strickland seek out Blanche's attention?,He wanted to paint her as a model,Because he wanted her to be a model for him to paint.,Why did Strickland seek out Blanche s attention ?,He wanted to paint her as a model,Because he wanted her to be a model for him to paint .
bcd47410647a9215fc84b4d00513380802444be8,train,Why does Matho steal the Zaimph?,"Because he knows Salammbo will come to steal it back, and he will be able to see her again.",So he can see Salammb么 again,Why does Matho steal the Zaimph ?,"Because he knows Salammbo will come to steal it back , and he will be able to see her again .",So he can see Salammb么 again
caf0ab019a350015cf49332baf41bdce16c4bfa7,train,What does Madea use to kill the children?,Knife.,knife,What does Madea use to kill the children ?,Knife .,knife
9a1f8183b31ba8ab9f1719fa42b36a173035beb4,train,Where does Phelps want to send the Indians team due to making a lucrative deal?,Miami,Florida.,Where does Phelps want to send the Indians team due to making a lucrative deal ?,Miami,Florida .
598ad8540bb3851e7347cda52466e566cda0cccf,train,How does Valeria defeat Tascela?,dagger to the heart,With a dagger to the heart. ,How does Valeria defeat Tascela ?,dagger to the heart,With a dagger to the heart .
4c428ffec939a3607a4da2e68ca684c03f6e8959,train,Who was Katharine's escort?,"Her cousin, Thomas Culpeper.",Thomas Culpeper.,Who was Katharine s escort ?,"Her cousin , Thomas Culpeper .",Thomas Culpeper .
e0c74cdf270ebe29a2139e7319fc7314738c88ee,valid,Who puts the AllSpark into Megatron's chest?,Sam Witwicky.,Sam,Who puts the AllSpark into Megatron s chest ?,Sam Witwicky .,Sam
199ec80c97f752cd8e00d2ca6f8e5f48603fefb8,valid,How much the Starman win in the Jackpot?,"$500,000","$500,000.00",How much the Starman win in the Jackpot ?,"$ 500,000","$ 500,000.00"
d87a40e39666a2b9e096f60a84cbe3b9fd32589f,train,Who is particularly upset by Nick's dream of becoming a painter? ,Julia Dallow,Julia Dallow,Who is particularly upset by Nick s dream of becoming a painter ?,Julia Dallow,Julia Dallow
ecdd7d239978d8bdf03d163b4fb3a5e97518b715,train,How old is Dick Sand?,15 years old,15,How old is Dick Sand ?,15 years old,15
d048b2940e89186fca8f3d727d92757c21e3b476,train,Why do they arm themselves in the cellar?,To destroy supernatural beings.,There is a monster,Why do they arm themselves in the cellar ?,To destroy supernatural beings .,There is a monster
a08ad894b1b65ce935b9e6355851246add65a03b,train,May server is described as what during the party?,listless,listless,May server is described as what during the party ?,listless,listless
da0fbf9aa024eeace9a2e1aef91915f26856d233,train,How did the Buddhist priests travel to Branksome?,They were passengers on a ship that wrecked in the bay.,by boat,How did the Buddhist priests travel to Branksome ?,They were passengers on a ship that wrecked in the bay .,by boat
dea2f279429c66e84cd3318163178b358da8f6cc,train,What did Ozma use to send everyone back to their homes?,Magic belt.,Her magic belt.,What did Ozma use to send everyone back to their homes ?,Magic belt .,Her magic belt .
8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2,valid,Where is Leon Verdier from?,France,France,Where is Leon Verdier from ?,France,France
7f94b72019ec44ea140e8ef4d40b1dcaa998b547,train,Why does Lucie steer clear of Mrs. Tiggy-Winkles?,Because Mrs. Tiggy-Winkles has prickles. ,Her prickles.,Why does Lucie steer clear of Mrs. Tiggy-Winkles ?,Because Mrs. Tiggy-Winkles has prickles .,Her prickles .
15618d16f20e7ba33352f06e210f42ef59d84d74,valid,Where is the Fiddlefest concert finally held?,Carnegie Hall in New York City.,Carnegie Hall.,Where is the Fiddlefest concert finally held ?,Carnegie Hall in New York City .,Carnegie Hall .
aee3ec7fb1a35d44be2e49a1dcf64b8ed31a5ca9,test,Which of the main characters has children?,Renee,Renee de Maucombe's.,Which of the main characters has children ?,Renee,Renee de Maucombe s .
e292eae2486862f6df6ff388cb2dd6777bc73f27,test,What human experience has Mark never partaken of?,Sex,sex,What human experience has Mark never partaken of ?,Sex,sex
d984035756201895c1acd9233775031cc9c0a30c,train,How many children was Zoe expecting?,Two.,Two.,How many children was Zoe expecting ?,Two .,Two .
8b1ac9ad821c24ab658e4977aa169ff195f4967f,train,What does Forrest do after he graduates from college?,He enlists in the Army,enlists in the army,What does Forrest do after he graduates from college ?,He enlists in the Army,enlists in the army
cf873fb685ac6b1bd09c733ad9b0c0130d109454,train,What does Rebecca dance with in her performance?,A Jesus doll ,a life size Jesus doll on a crucifix,What does Rebecca dance with in her performance ?,A Jesus doll,a life size Jesus doll on a crucifix
f8275ee93c7df3f4daf8a4e78a5d1c2c47d7eba1,train,Who did Kennedy send to meet the Soviets as a final effort to avoid war?,His brother Robert Kennedy.,He sent his brother Robert F. Kennedy to meet with the Soviets.,Who did Kennedy send to meet the Soviets as a final effort to avoid war ?,His brother Robert Kennedy .,He sent his brother Robert F. Kennedy to meet with the Soviets .
08de5678977bbbefcebc7e2abb04e402539b90e0,test,What superhero duo have Holden and Banky created together?,Bluntman and Chronic,Bluntman and Chronic,What superhero duo have Holden and Banky created together ?,Bluntman and Chronic,Bluntman and Chronic
af7a0d8c4451211b245244cb4ac54532b160b5e5,test,Who wants Arbaces to be assassinated?,His mother Arane,His mother,Who wants Arbaces to be assassinated ?,His mother Arane,His mother
3b44f7e2fd553e6026c16fac3b179346a49647a3,train,Why is Mortimer arrested?,For murder.,Murder,Why is Mortimer arrested ?,For murder .,Murder
87555ec174cc76683e18cd391876d49d6ef1c2c2,train,Who does the mayor blame for mixup involving Khlestakov?,his cronies,The mayor's cronies.,Who does the mayor blame for mixup involving Khlestakov ?,his cronies,The mayor s cronies .
778b1dc6fca050bfeb111f3e718d6fecce4bded4,train,How does Haystoun respond to the attack?,"He sets off alone to fight the Russians, giving the local fort time to bolster defenses","After contacting the local fort to send warnings to the northern territories, he attempted to singlehandedly delay the invaders.",How does Haystoun respond to the attack ?,"He sets off alone to fight the Russians , giving the local fort time to bolster defenses","After contacting the local fort to send warnings to the northern territories , he attempted to singlehandedly delay the invaders ."
0d306f911ca339bc6ef6f484b29d30a809b08356,test,"What is the vast arena with mountains, demons, and mythical gods?",The Plain of Silence.,The Plain of Silence,"What is the vast arena with mountains , demons , and mythical gods ?",The Plain of Silence .,The Plain of Silence
5a3c3fa94456d41df5d8711b33687c39f2aa1ca8,test,Who is the Archdeacon?,Grantly,Grantly,Who is the Archdeacon ?,Grantly,Grantly
ad0ec287e1d4d99b7ed905a7765e56f79eecb9ef,test,Where was Evan accepted into college?,Dartmouth.,dartmouth,Where was Evan accepted into college ?,Dartmouth .,dartmouth
bf438dd002b209fa4550cd56752c6549428fc4bc,train,How did Sammy Jankis' wife die?,An overdose of insulin injections.,Overdose.,How did Sammy Jankis ' wife die ?,An overdose of insulin injections .,Overdose .
ba4195db69ed45a0fe3a33e7179aeef7d29bc2ca,test,What does Venter's lose while retrieving Jane's horses?,"His own horse, Wrangle",His horse.,What does Venter s lose while retrieving Jane s horses ?,"His own horse , Wrangle",His horse .
2b5d19eb7767f089cf6b5cee04106b964962eb00,train,Which of the main character was a drug-addicted comedian?,Jeff Portnoy,Jeff Portnoy (Jack Black),Which of the main character was a drug-addicted comedian ?,Jeff Portnoy,Jeff Portnoy ( Jack Black )
b7d110c2b105935a4284db267650661a3d572b26,train,Who does Lester invite George to escort to the Republican Party election night soiree?,Jackie,Jackie,Who does Lester invite George to escort to the Republican Party election night soiree ?,Jackie,Jackie
c85ec67ceff73b596af55bbd3cd88bfd37f622ec,train,Why is Erik training Hanna to fight?,Erik has plans for Hanna to kill Marissa.,To defend herself from being killed by the CIA.,Why is Erik training Hanna to fight ?,Erik has plans for Hanna to kill Marissa .,To defend herself from being killed by the CIA .
3ed7c9dd02debf305c8bcf19afc9860e8d395d61,test,Why is Stevens selected to go undercover?,Because of his criminal-like traits he possesses,Considering his criminal-like character traits.,Why is Stevens selected to go undercover ?,Because of his criminal-like traits he possesses,Considering his criminal-like character traits .
30e4ebaa85c10ecdea85e7e7fce9c8c3e86081dc,train,Why was Edna called away from New Orleans?,To help her friend with childbirth.,To help Adele with her childbirth,Why was Edna called away from New Orleans ?,To help her friend with childbirth .,To help Adele with her childbirth
139004cd2411c6909a752ecf897d326ed8bf419c,train,What does Willard use to kill Kurtz?,Machete,A machete.,What does Willard use to kill Kurtz ?,Machete,A machete .
6037c8d1ab3bd11a8ce68d1319805be7f27bb2d9,train,What would Fred not be willing to marry Kate?,Because she is poor and unsuitable to become a countess.,She is not upper class,What would Fred not be willing to marry Kate ?,Because she is poor and unsuitable to become a countess .,She is not upper class
f5fb9cfd351645796e1120173e323ea3b808c422,train,What is the name of the Republican Senator who opposes the environmental bill?,Bob Rumson,Bob Rumson ,What is the name of the Republican Senator who opposes the environmental bill ?,Bob Rumson,Bob Rumson
6fc88efa5357b958b072332a14efd3e33cf4e4c0,train,Why wasn't Xanthias allowed to ride on the ferry?,Xanthias was not allowed because he was a slave.,Because he is a slave.,Why was n't Xanthias allowed to ride on the ferry ?,Xanthias was not allowed because he was a slave .,Because he is a slave .
6a659de3aa344680261aaf152a26bf7a20fe22f2,train,Who does Vincey put in charge of raising his son Leo?,Holly,Horace Holly,Who does Vincey put in charge of raising his son Leo ?,Holly,Horace Holly
3ef60c15b2829459347df39e18ba10598e57e743,train,What does Patrick call Martha?,Marcy May.,Marcy May,What does Patrick call Martha ?,Marcy May .,Marcy May
fbbfafdd97567ddaadc565e18ac617703e1fed66,train,Who is Lucia to Turiddu?, Lucia is his mother.,mother,Who is Lucia to Turiddu ?,Lucia is his mother .,mother
dae7e31c643a625b54fd042a8ecad0d9e964494e,test,Who does Charley stab in the hand with a pencil?,Jerry.,Jerry,Who does Charley stab in the hand with a pencil ?,Jerry .,Jerry
b61a35a3025b1b738c257af2a2b5af9a52222304,train,What war did Nathan fight in?,American-Indian War,American Indian Wars.,What war did Nathan fight in ?,American-Indian War,American Indian Wars .
60a79c800ff1d55aedfba99108890ecc3632c456,train,Where was the Duke's compound?,Grand Central Station,Grand Central Station.,Where was the Duke s compound ?,Grand Central Station,Grand Central Station .
